base_month,Vacation,holiday,season,weekend,Average temperature (°C),Average maximum temperature (°C),Average minimum temperature (°C),Maximum temperature (°C),Minimum temperature (°C),The day the highest temperature appeared (yyyymmdd),The day the lowest temperature appeared (yyyymmdd),평균현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),최고해면기압 나타난날(yyyymmdd),최저해면기압 나타난날(yyyymmdd),평균수증기압(hPa),최고수증기압(hPa),최저수증기압(hPa),최고수증기압 나타난날(yyyymmdd),최저수증기압 나타난날(yyyymmdd),평균이슬점온도(°C),평균상대습도(%),최소상대습도(%),최소상대습도 나타난날(yyyymmdd),Monthly precipitation (00~24hten thousand)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),일최다강수량 나타난날(yyyymmdd),1시간최다강수량 나타난날(yyyymmdd),10분최다강수량 나타난날(yyyymmdd),소형총증발량(mm),소형일최대증발량(mm),대형총증발량(mm),대형일최대증발량(mm),소형일최대증발량 나타난날(yyyymmdd),대형일최대증발량 나타난날(yyyymmdd),Average wind speed (m/s),Maximum wind speed (m/s),최대순간풍속(m/s),최대풍속 풍향(16방위),최대순간풍속 풍향(16방위),The day the maximum wind speed appeared (yyyymmdd)        ,최대순간풍속 나타난날(yyyymmdd),최다풍향(16방위),Average Cloudiness (1/10),평균중하층운량(1/10),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),최심적설(cm),최심신적설(cm),3시간신적설합(cm),최심적설 나타난날(yyyymmdd),최심신적설 나타난날(yyyymmdd),평균 최저초상온도(°C),최저초상온도(°C),최저초상온도 나타난날(yyyymmdd),평균지면온도(°C),0.05m평균지중온도(°C),0.1m평균지중온도(°C),0.2m평균지중온도(°C),0.3m평균지중온도(°C),0.5m평균지중온도(°C),1.0m평균지중온도(°C),1.5m평균지중온도(°C),3.0m평균지중온도(°C),5.0m평균지중온도(°C),leis_sports_cnt,ref_view_cnt
202106,1,1,summer,8,23.4,27,20.8,31.5,18.4,20210609,20210604,1005.5,1007.9,1015.9,996.1,20210607,20210615,21.5,27.7,7.1,20210615,20210604,18.5,75,28,20210604,122.4,86.8,22.5,6.6,20210611,20210611,20210611,158.8,7.5,111.3,5.2,20210620,20210620,2.4,7.6,14.4,250,140,20210603,20210610,50,6.7,3.8,200.1,46.45,604.98,,,,,,20.5,17.8,20210601,27.5,24.5,25.3,25.1,24.5,24.6,22.8,20.7,18.3,16.6,68387,934448
202107,1,0,summer,9,27.8,31.1,25.5,34.2,22.7,20210728,20210704,1005.6,1007.9,1015.4,1000.4,20210715,20210730,28.7,35,20.9,20210731,20210728,23.3,78,45,20210727,247.1,155.3,99.2,22.6,20210731,20210731,20210731,171.4,9.2,119.8,6.4,20210728,20210728,3.1,10.7,20.3,230,200,20210703,20210703,50,7.3,4,171.5,39.16,551.05,,,,,,23.6,20.4,20210729,30.2,27.6,28.5,28.4,28,27.9,26.3,24.2,21.1,17.8,36274,968782
202108,1,2,summer,9,27.3,30.3,25,33.8,22.2,20210804,20210814,1006,1008.3,1016.7,998.9,20210830,20210823,28.3,34.8,20.8,20210806,20210820,23.1,79,49,20210803,227.8,57.7,15.2,8.2,20210814,20210802,20210825,152.5,9.7,106.7,6.8,20210827,20210827,2.5,10.5,22.9,140,110,20210824,20210821,110,6.6,4.3,170.5,41.12,500.53,,,,,,22.6,18.8,20210819,29,27.8,28.6,28.7,28.7,28.4,27.8,26.6,24,19.5,43445,848667
202109,0,3,autumn,8,24.9,28,22.5,33.3,19,20210901,20210924,1010,1012.4,1022.2,997.5,20210924,20210917,26.2,35,16.2,20210901,20210924,21.8,84,54,20210923,493.1,155,71.7,22.3,20210917,20210917,20210917,112.4,6.5,78.4,4.6,20210922,20210922,3.4,15.3,24.2,50,50,20210917,20210917,90,7,4.9,129.3,34.8,368.49,,,,,,19.7,14.1,20210924,26.3,26,26.1,26.3,26.2,26.1,25.9,25.5,23.5,20.9,74382,556900
202110,0,4,autumn,10,20.1,23.8,17.1,31.8,9,20211010,20211018,1018.4,1020.8,1029,1008.2,20211017,20211001,18,30.6,7.2,20211010,20211017,14.8,73,39,20211017,32.1,16.4,4.3,1.9,20211012,20211012,20211012,122.2,6.4,85.5,4.5,20211003,20211003,2.9,10.5,16.7,20,20,20211016,20211016,20,4.8,3.1,193.9,55.1,398.98,,,,,,12.5,3.4,20211018,21.3,21.7,21.9,22.4,22.7,23,23.5,23.4,22.7,21.1,159009,770962
202111,0,0,autumn,8,14,18.1,10.9,23.2,7,20211107,20211130,1018.4,1020.9,1035.4,1010.6,20211127,20211110,10.6,19,5.7,20211108,20211122,7.5,66,36,20211117,63.8,34.5,,,20211108,,,100.8,4.3,70.6,3,20211114,20211114,3.7,12.6,22.5,340,320,20211111,20211111,320,5.3,3.7,151.2,48.26,273.16,,,,,,5.1,-1.5,20211128,13.2,14.7,14.9,15.4,16,16.7,18.1,18.5,20.6,20.7,114236,884800
202112,0,1,winter,8,8.9,12.2,6.3,17.4,-0.5,20211221,20211226,1023.2,1025.7,1035.5,1016.8,20211226,20211221,7.7,13.5,4.3,20211210,20211225,2.8,67,30,20211222,31.4,21.5,,,20211216,,,75.1,4,52.7,2.8,20211220,20211220,4.2,14,25.2,340,340,20211217,20211217,340,6.4,5.7,85.9,27.75,167,4.4,4.4,6.2,20211226,20211226,2.2,-1.5,20211222,7.8,9.8,9.9,10.5,11.3,12.2,14,14.4,18.5,19.8,183629,708458
202201,1,2,winter,10,6.2,9.1,3.9,14.4,0.3,20220122,20220121,1022.5,1025,1032.9,1016.4,20220101,20220111,6.5,11.5,3.4,20220123,20220119,0.5,68,25,20220119,33.6,18.8,,,20220105,,,62.3,3.2,43.6,2.3,20220119,20220119,3.5,10.8,20.5,340,320,20220111,20220111,340,7,5.7,80.8,25.49,193.02,0.4,0.4,0.4,20220111,20220111,-0.2,-7.4,20220119,5.9,7.2,7.3,7.7,8.2,9.1,10.9,11.4,16.7,19,191206,842122
202202,0,2,winter,8,5.6,8.7,2.9,16.2,0,20220226,20220220,1024.1,1026.6,1035,1017,20220223,20220228,5.6,10,3.5,20220213,20220227,-1.5,62,24,20220226,25.1,11.3,,,20220219,,,73.9,6,51.7,4.2,20220226,20220226,4.1,10.2,20,340,340,20220219,20220220,340,6.6,5.3,92.3,29.99,253.06,0.3,0.3,0.3,20220220,20220220,-0.8,-6.9,20220218,6.1,6.9,7.1,7.4,7.9,8.5,9.7,10,14.9,18.2,177948,714909
202203,0,2,spring,8,11.4,15.5,7.8,22.3,4.5,20220312,20220306,1015.9,1018.4,1027.8,1001.4,20220331,20220326,9.8,20.1,3.6,20220326,20220327,5.8,70,18,20220327,96.1,32.1,,,20220318,,,98.8,6.9,69.2,4.8,20220327,20220327,3.2,12.1,21,180,180,20220325,20220325,290,5.9,3.5,163.8,44.09,409.19,,,,,,2.7,-4.1,20220310,12.4,11.9,11.8,11.8,11.4,11.3,10.7,10.7,13.5,17.2,74732,617995
202204,0,1,spring,9,15.5,19.6,11.9,26.7,5.6,20220425,20220403,1015.3,1017.8,1030,1001.2,20220404,20220426,12.6,26.9,4.8,20220425,20220417,9.5,70,25,20220417,84,26,9.2,4.7,20220429,20220425,20220425,144.8,7,101.6,4.9,20220408,20220408,2.8,10.8,20.1,50,250,20220414,20220426,50,5,2.9,236.6,60.57,599.27,,,,,,7,-0.7,20220403,19.1,17.4,17.3,17.2,16.7,16.4,14.8,13.9,13.9,16.5,102377,843283
202205,0,2,spring,9,19.4,23.1,15.8,29,9.5,20220527,20220503,1011.4,1013.8,1022.4,1000.6,20220503,20220530,14.6,22.8,4.2,20220530,20220502,12,65,20,20220527,9.1,8.9,3.3,1.3,20220513,20220513,20220513,184.9,12.2,129.5,8.6,20220527,20220527,2.9,8.3,13.7,20,20,20220513,20220513,50,5.1,2.7,253.2,58.76,653.49,,,,,,11.1,2.8,20220503,24.4,21.6,21.5,21.6,21.2,20.8,18.8,17.2,15.6,16.1,94892,918511
202206,1,0,summer,8,23.9,27.5,21.1,34.4,17.3,20220626,20220605,1005.6,1008,1014.2,995.9,20220630,20220605,23.8,32.2,12.8,20220630,20220601,20.1,81,47,20220626,143.6,71.4,21.4,7.2,20220624,20220624,20220624,170.1,9.6,119,6.7,20220623,20220623,3.3,11.7,22.3,250,250,20220624,20220624,50,6.3,3.9,212.9,49.42,611.4,,,,,,19.5,14,20220602,28.3,25.9,26,25.9,25.4,24.9,22.5,20.4,17.9,16.5,106281,970029
202207,1,1,summer,10,28.4,31.8,25.7,36,23.2,20220728,20220716,1003.8,1006.2,1015,997.7,20220701,20220718,30.6,38,21.7,20220714,20220726,24.4,80,49,20220728,149,48.3,16.3,6.2,20220730,20220731,20220731,177.8,9.4,124.6,6.6,20220707,20220707,3.1,9.6,19.3,250,180,20220707,20220731,50,6,3.9,230.6,52.62,622.55,,,,,,24.8,22.1,20220726,32.5,30.4,30.6,30.6,30.2,29.5,27.2,24.8,22,17.7,93984,940925
202209,0,4,autumn,8,24.1,26.9,21.9,32.8,17.2,20220916,20220930,1009.3,1011.7,1018.7,974.8,20220924,20220905,24.1,33.8,11,20220905,20220930,20.1,79,25,20220907,265.8,174,,,20220905,,,97.4,7.4,,,20220907,,3.4,17.7,27.8,20,340,20220906,20220906,70,7.5,,119.3,32.08,362.34,,,,,,23.9,17.3,20220828,33.8,30.4,30.5,30.7,30.6,30.2,28.5,26.8,24.5,19.7,,
